TSegundos;TMilisegundos;DuraciónMiliseg;ARMA;GÉNERO;MANO;PUÑO;PERÍODO; PISTA;MARCADOR;EFICACIA;Preparación;PRESIÓN;ACCIÓN 1;TIPO 1;ACCIÓN 2;TIPO 2;ACCIÓN 3;TIPO 3;ACCIÓN 4;TIPO 4;ACCIÓN n;TIPO n;Asalto;Tirador_I;Tirador_D;CAMPEONATO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:00.3;540338;10384;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;Toca_I;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_DEF_D;3_PAR_R;4_COF_I;4_SIM_SH;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:20.1;560127;6698;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;Toca_I;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:32.9;572882;9463;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_DIST_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09:42.3;582345;8799;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;Toca_D;Prep_D;PRES_D;1_DEF_I;1_PAR_R;2_DEF_D;2_PAR_R;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10:05.7;605727;5982;ESP;FEM;ZZ;2ANA;2PER;CENT;Gana_I;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_DEF_D;3_PAR_SR;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10:11.7;611709;10983;ESP;FEM;ZZ;2ANA;2PER;3M_I;Gana_I;Toca_D;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11:57.0;716984;6749;ESP;FEM;ZZ;2ANA;3PER;CENT;Gana_I;NO;NoPrep;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_COF_D;3_SIM_SH;4_DEF_I;4_PAR_SR;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12:03.7;723733;7136;ESP;FEM;ZZ;2ANA;3PER;CENT;Gana_I;Toca_D;Prep_I;NPRES;1_OF_I;1_SIM_SH;2_DEF_D;2_DIST_R;3_DEF_I;3_PAR_R;4_COF_D;4_SIM_SH;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12:43.9;763901;2259;ESP;FEM;ZZ;2ANA;3PER;3M_I;Gana_I;NO;NoPrep;PRES_D;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_COF_D;3_SIM_SH;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12:46.2;766160;11482;ESP;FEM;ZZ;2ANA;3PER;2M_I;Gana_I;Toca_D;Prep_D;PRES_D;1_OF_D;1_SIM_SH;2_COF_I;2_SIM_SH;3_COF_D;3_SIM_SH;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13:06.2;786187;7580;ESP;FEM;ZZ;2ANA;3PER;3M_D;Gana_I;Toca_I;Prep_D;PRES_I;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13:18.6;798639;5560;ESP;FEM;ZZ;2ANA;3PER;CENT;Gana_I;Toca_I;Prep_D;NPRES;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13:26.7;806690;10034;ESP;FEM;ZZ;2ANA;3PER;CENT;Gana_I;NO;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_SR;;;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13:36.7;816724;8591;ESP;FEM;ZZ;2ANA;3PER;CENT;Gana_I;Toca_D;Prep_I;PRES_D;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;4_COF_I;4_SIM_SH;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13:52.2;832199;38025;ESP;FEM;ZZ;2ANA;3PER;CENT;Gana_I;Toca_D;Prep_D;NPRES;1_OF_D;1_SIM_SH;2_DEF_I;2_PAR_R;3_COF_D;3_SIM_SH;;;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14:36.3;876263;;ESP;FEM;ZZ;2ANA;3PER;CENT;Gana_I;Doble;Prep_I;PRES_I;1_OF_I;1_SIM_SH;2_COF_D;2_SIM_SH;3_DEF_I;3_PAR_R;4_COF_D;4_SIM_SH;;;54;S1;S10;Campeonato del Mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
